CD_CVM,TICKER,DENOM_SOCIAL,DENOM_COMERC,SETOR_ATIV,PF_PJ,CNPJ,DT_REG,DT_CONST,DT_CANCEL,MOTIVO_CANCEL,SIT_REG,DT_INI_SIT,SIT_EMISSOR,DT_INI_SIT_EMISSOR,CATEG_REG,DT_INI_CATEG,AUDITOR,CNPJ_AUDITOR,TP_ENDER,LOGRADOURO,COMPL,BAIRRO,CIDADE,UF,PAIS,CD_POSTAL,TEL,FAX,EMAIL,TP_RESP,RESP,DT_INI_RESP,LOGRADOURO_RESP,COMPL_RESP,BAIRRO_RESP,CIDADE_RESP,UF_RESP,PAIS_RESP,CEP_RESP,TEL_RESP,FAX_RESP,EMAIL_RESP,TP_MERC
11835,,ZANINI SA EQUIPS PESADOS,ZANINI,"Máquinas, Equipamentos, Veículos e Peças",PJ,7.13209E+13,7/5/1971,,1/27/1997,ATENDIMENTO AS NORMAS DA INSTR CVM 03/78,CANCELADA,1/27/1997,,,,,PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES,6.15621E+13,SEDE,VIA ARMANDO S OLIVEIRA KM 341,,,SERTÃOZINHO,SP,BRASIL,,(16) 6424044,(0016) 6424055,,DIRETOR DE RELAÇÕES COM INVESTIDORES,LUIS CARLOS ROQUE RUBIANO,7/5/1971,"RUA XV DE NOVEMBRO, 324",,,SÃO PAULO,SP,,1013000,(11) 6424066,,,BOLSA
11843,,ZIVI SA CUTELARIA,ZIVI S/A,METALURGIA E SIDERURGIA,PJ,9.27492E+13,11/1/1968,1/1/1931,12/29/2003,ELISÃO POR INCORPORAÇÃO,CANCELADA,12/29/2003,,,,,PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES,6.15621E+13,SEDE,RUA VISCONDE DE PELOTAS,,PASSO D`AREIA,PORTO ALEGRE,RS,BRASIL,,(51) 3358500,(51) 33585176,Www.gem.ind.br,DIRETOR DE RELAÇÕES COM INVESTIDORES,MICHAEL LENN CEITLIN,11/1/1968,"RUA VISCONDE DE PELOTAS, 360",,PASSO D`AREIA,PORTO ALEGRE,RS,,91030530,(51) 33585109,(51) 33585176,michael.ceitlin@gem.ind.br,BOLSA
11878,,JAIME PINHEIRO PARTIC. S/A,CASA DA MADEIRA,EMP. ADM. PARTICIPAÇÕES,PJ,7.21977E+12,11/10/1982,,2/9/1995,ATENDIMENTO AS NORMAS DA INSTR CVM 03/78,CANCELADA,2/9/1995,,,,,PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES,6.15621E+13,SEDE,AV PAULISTA 302 13AND,,,SÃO PAULO,SP,BRASIL,,(11) 2874654,,,DIRETOR DE RELAÇÕES COM INVESTIDORES,NOELIA CAPELO PINHEIRO,11/10/1982,AV PAULISTA 509/1903,,,SÃO PAULO,SP,,1311000,(11) 2874654,,,BALCÃO NÃO ORGANIZADO
11886,,NORDEQ EQUIPS INDLS DO NE SA,NORDEQ,METALURGIA E SIDERURGIA,PJ,1.36066E+13,6/1/1984,,9/23/1988,ATENDIMENTO AS NORMAS DA INSTR CVM 03/78,CANCELADA,9/23/1988,,,,,DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES,4.99286E+13,SEDE,VIA CENTRO 4364 CENTRO ARATU,,,SIMÕES FILHO,BA,BRASIL,,(71) 5948611,,,DIRETOR DE RELAÇÕES COM INVESTIDORES,YVAN BELCHIOR DA C. MEIRELLES,6/1/1984,VIA CENTRO 4364  CENTRO ARATU,,,SIMÕES FILHO,BA,,43700000,(71) 5948611,,,BALCÃO NÃO ORGANIZADO
11894,,BARRETTO ARAUJO PROD CACAU SA,BARRETO DE ARAUJO,ALIMENTOS,PJ,1.51253E+13,5/16/1984,,1/4/2010,Cancelamento de ofício - IN CVM 480/09,CANCELADA,1/4/2010,,,Categoria A,1/1/2010,PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES,6.15621E+13,SEDE,AV ESTADOS UNIDOS 397 SALA 701,,COMERCIO,SALVADOR,BA,BRASIL,,(71) 2435711,,,DIRETOR DE RELAÇÕES COM INVESTIDORES,RICARDO DE AGOSTINI LAGOEIRO,5/16/1984,AV ESTADOS UNIDOS 397 CONJ 809,,,SALVADOR,BA,,40010000,(71) 2435711,,,BOLSA
11908,,CIMINAS  CIMENTO NAC MINAS SA,CIMINAS,EXTRAÇÃO MINERAL,PJ,6.08693E+13,5/31/1984,,11/18/1992,ATENDIMENTO AS NORMAS DA INSTR CVM 03/78,CANCELADA,11/18/1992,,,,,RUHTRA S/C,3.30173E+13,SEDE,"AV.IPIRANGA, 104 - 9 ANDAR",,,SÃO PAULO,SP,BRASIL,,(11) 2579355,,,DIRETOR DE RELAÇÕES COM INVESTIDORES,PETER HEINRICH KUMIN,5/31/1984,"AV.IPIRANGA, 104 - 9 ANDAR",,,SÃO PAULO,SP,,1046000,(11) 2579355,,,BALCÃO NÃO ORGANIZADO
11916,,FLEXDISC TECNOLOGIA SA,FLEXDISC TECNOLOGIA,"Máquinas, Equipamentos, Veículos e Peças",PJ,5.11597E+13,6/5/1984,,2/14/2007,CANCELAMENTO DE OFÍCIO C/BASE INSTR. CVM 287/98,CANCELADA,2/14/2007,,,,,KPMG AUDITORES ASSOCIADOS,5.28032E+13,SEDE,RUA DOM AGUIRRE 176,,TAQUARAL,SÃO PAULO,SP,BRASIL,,(11) 5234122,,,DIRETOR DE RELAÇÕES COM INVESTIDORES,GIOVANNI FARINA,6/5/1984,RUA DOM AGUIRRE 176,,,SÃO PAULO,SP,,4671000,(11) 5234122,,,BALCÃO NÃO ORGANIZADO
11924,,AUXILIAR SA PARTICIPACOES,AUXILIAR PART,EMP. ADM. PARTICIPAÇÕES,PJ,4.60473E+13,6/20/1984,,8/9/2005,CANCELAMENTO DE OFÍCIO C/BASE INSTR. CVM 287/98,CANCELADA,8/9/2005,,,,,,,SEDE,"AV JURECÊ Nº 194, 9º ANDAR",,,SÃO PAULO,SP,BRASIL,,(11) 8819911,,,DIRETOR DE RELAÇÕES COM INVESTIDORES,JOSE ROBERTO BROLEZI,6/20/1984,"AV JURECÊ, Nº 194, 9º ANDAR",,INDIANAPOLIS,SÃO PAULO,SP,,4010080,(11) 50989152,(11) 50989151,jrbrol@uol.com.br,
11932,MYPK,IOCHPE-MAXION SA,IOCHPE-MAXION,"Máquinas, Equipamentos, Veículos e Peças",PJ,6.11561E+13,7/17/1984,5/28/1940,,,ATIVO,7/17/1984,FASE OPERACIONAL,7/17/1984,Categoria A,1/1/2010,DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES,4.99286E+13,SEDE,"Rua Othon Barcellos, nº 83",,Itagaçaba,,SP,BRASIL,,(012) 31811080,(12) 31444208,becker@iochpe.com.br,DIRETOR DE RELAÇÕES COM INVESTIDORES,AUGUSTO RIBEIRO JUNIOR,7/17/1984,"RUA LUIGI GALVANI, 146",- 13º ANDAR,BROOKLIN NOVO,SÃO PAULO,SP,BRASIL,4575020,(11) 55083803,(11) 55067353,dri@iochpe.com.br,BOLSA
11940,,LABRA IND BRAS DE LAPIS SA,LABRA,OUTRAS ATIVIDADES INDUSTRIAIS,PJ,7.7965E+13,7/18/1984,,3/3/1994,ENQUADRAMENTO EXCEÇÕES DA INSTR. CVM 03/78,CANCELADA,3/3/1994,,,,,PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES,6.15621E+13,SEDE,"AV.DAS ARAUCARIAS, 3376",,,ARAUCÁRIA,PR,BRASIL,,(41) 8431666,(41) 8431445,,DIRETOR DE RELAÇÕES COM INVESTIDORES,MIGUEL ZATTAR,7/18/1984,RUA BOA VISTA 185/5 ANDAR,,,SÃO PAULO,SP,,1014030,(11) 2390711,,,BOLSA
11959,,CONST PRESIDENTE SA,CONST PRESIDENTE,"Construção Civil, Mat. Constr. e Decoração",PJ,3.32657E+13,7/25/1984,,1/2/1990,ATENDIMENTO AS NORMAS DA INSTR CVM 03/78,CANCELADA,1/2/1990,,,,,LOUDON BLOMQUIST AUDITORES INDEPENDENTES,3.31797E+13,SEDE,R REAL GRANDEZA 86 A B,,,RIO DE JANEIRO,RJ,BRASIL,,(21) 22869222,,,DIRETOR DE RELAÇÕES COM INVESTIDORES,WILSON FRAIHA,7/25/1984,R REAL GRANDEZA 86 A B,,,RIO DE JANEIRO,RJ,,22281000,(21) 2869222,,,
11967,,FRANGOSUL SA AGRO AVICOLA INDL,FRANGOSUL,ALIMENTOS,PJ,9.13746E+13,7/25/1984,,12/21/1999,ATENDIMENTO AS NORMAS DA INSTR CVM 229/95,CANCELADA,12/21/1999,,,,,MAZARS & GUÉRARD AUDITORES INDEPENDENTES,4.994E+13,SEDE,R BUARQUE  MACEDO 3620,,IMIGRAÇÃO,MONTENEGRO,RS,BRASIL,,(51) 6324444,(51) 6324884,marketin@frangosul.com.br,DIRETOR DE RELAÇÕES COM INVESTIDORES,JOSÉ AUGUSTO LIMA DE SÁ,7/25/1984,"AV DAS MAGNÓLIAS, 1122",,CIDADE JARDIM,SÃO PAULO,SP,,5674002,(51) 6324444,(051) 6324884,marketin@frangosul.com.br,BOLSA
11975,AZEV,AZEVEDO & TRAVASSOS SA,AZEVEDO & TRAVASSOS,"Construção Civil, Mat. Constr. e Decoração",PJ,6.13515E+13,8/20/1984,6/25/1922,,,ATIVO,8/20/1984,FASE OPERACIONAL,8/20/1984,Categoria A,1/1/2010,GRANT THORNTON AUDITORES INDEPENDENTES,1.08301E+13,SEDE,"RUA VICENTE ANTONIO DE OLIVEIRA, 1050",,VILA MIRANTE,SÃO PAULO,SP,BRASIL,,(11) 39737787,(11) 39737766,diretoria@azevedotravassos.com.br,DIRETOR DE RELAÇÕES COM INVESTIDORES,RENATO DE ALMEIDA PIMENTEL MENDES,2/1/2019,R VICENTE ANTÔNIO DE OLIVEIRA,1050,VILA MIRANTE,SÃO PAULO,SP,,2955080,(11) 39737787,(11) 39737766,diretoria@azevedotravassos.com.br,BOLSA
11983,,TOKYO LEASING DO BRASIL SA,TOKYO LEASING,ARRENDAMENTO MERCANTIL,PJ,6.28707E+13,8/28/1984,,9/8/1992,ATENDIMENTO AS NORMAS DA INSTR CVM 03/78,CANCELADA,9/8/1992,,,,,KPMG AUDITORES INDEPENDENTES,5.77552E+13,SEDE,AV.PAULISTA 1274/7-BELA VISTA,,,SÃO PAULO,SP,BRASIL,,(11) 2898288,,,DIRETOR DE RELAÇÕES COM INVESTIDORES,MASAFUMI HIMENO,8/28/1984,AV PAULISTA 1274 7 ANDAR,,,SÃO PAULO,SP,,1310000,(11) 2898286,,,BALCÃO NÃO ORGANIZADO
11991,,WETZEL S.A. EM RECUPERAÇÃO JUDICIAL,WETZEL S.A. EM RECUPERAÇÃO JUDICIAL,METALURGIA E SIDERURGIA,PJ,8.46837E+13,10/9/1984,4/11/1932,,,ATIVO,10/9/1984,EM RECUPERAÇÃO JUDICIAL OU EQUIVALENTE,2/11/2016,Categoria A,1/1/2010,SAPPIA AUDITORES E CONSULTORES,1.92042E+13,SEDE,"Rua Dona Francisca, nº 8300, Perini Business Park",Bloco H,Distrito Industrial,JOINVILLE,SC,BRASIL,,(47) 34518500,(47) 34518528,marciah@wetzel.com.br,DIRETOR DE RELAÇÕES COM INVESTIDORES,ANDRÉ LUÍS WETZEL DA SILVA,4/28/2020,RUA ALEXANDRE DOHLER,276,CENTRO,JOINVILLE,SC,,89201260,(47) 34518510,(0) 34518501,dri@wetzel.com.br,BOLSA
12009,,RIB SA,RIB,EXTRAÇÃO MINERAL,PJ,1.52321E+13,6/22/1984,,4/25/1997,ELISÃO POR INCORPORAÇÃO,CANCELADA,4/25/1997,,,,,KPMG AUDITORES INDEPENDENTES,5.77552E+13,SEDE,RUA DA AJUDA 35/18 ANDAR,,,RIO DE JANEIRO,RJ,BRASIL,,(21) 25322811,(21) 22624341,,DIRETOR DE RELAÇÕES COM INVESTIDORES,JOSE CABRAL DE ALENCAR,6/22/1984,RUA DA AJUDA 35/18 ANDAR,,,RIO DE JANEIRO,RJ,,20040000,(21) 5322811,(0021) 2624341,,BOLSA
12017,,BANESTADO LEASING SA ARR MERC,BANESTADO LEASING,ARRENDAMENTO MERCANTIL,PJ,6.25273E+13,10/29/1984,,2/22/2001,ATENDIMENTO AS NORMAS DA INSTR CVM 229/95,CANCELADA,2/22/2001,,,,,"BOUCINHAS, CAMPOS & CONTI AUDITORES INDEPENDENTES S/S",6.26504E+13,SEDE,R MAXIMO JOAO KOPP Nº 274,,SANTA CANDIDA,CURITIBA,PR,BRASIL,,(41) 3518279,(41) 3517649,blam.avalon@sul.com.br,DIRETOR DE RELAÇÕES COM INVESTIDORES,RONALD ANTON DE JONGH,10/29/1984,RUA MAXIMO JOAO KOPP Nº 274,,SANTA CANDIDA,CURITIBA,PR,,82630900,(41) 3517411,(41) 3517415,blam.avalon@sul.com.br,BALCÃO NÃO ORGANIZADO
12025,,CIA DES ARAGUAIA CODEARA,CODEARA,"AGRICULTURA (AÇUCAR, ALCOOL E CANA)",PJ,3.6314E+12,10/30/1984,,5/18/1992,ATENDIMENTO AS NORMAS DA INSTR CVM 03/78,CANCELADA,5/18/1992,,,,,PRADO GUERRA AUD ASSOC SC,5.86274E+13,SEDE,R FLORENCIO ABREU 301 9 ANDAR,,,SÃO PAULO,SP,BRASIL,,(11) 2591585,,,DIRETOR DE RELAÇÕES COM INVESTIDORES,LUIZ NELSON ANTUNES STRANG,10/30/1984,R FLORENCIO ABREU 301/10 ANDAR,,,SÃO PAULO,SP,,1050000,(11) 2591585,,,BOLSA
12033,,BAPTISTA DA SILVA PARTICIPAÇÕES E PROJETOS SA,BAPTISTA DA SILVA,Emp. Adm. Part. - Sem Setor Principal,PJ,1.08093E+13,10/30/1984,12/21/1965,1/4/2010,Cancelamento de ofício - IN CVM 480/09,CANCELADA,1/4/2010,,,Categoria A,1/1/2010,DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES,4.99286E+13,SEDE,RUA JOSE BONIFACIO 944,,,RECIFE,PE,BRASIL,,(81) 4128617,(81) 4128570,,DIRETOR DE RELAÇÕES COM INVESTIDORES,PAULO RUBENS FREIRE VILAR,10/30/1984,R JOSE BONIFACIO 944,,,RECIFE,PE,,50710900,(81) 4128617,(81) 4128570,,BALCÃO NÃO ORGANIZADO
12041,,POLYMAX INFORMATICA SA,POLYMAX,"Máquinas, Equipamentos, Veículos e Peças",PJ,9.00252E+13,11/6/1984,,3/21/2006,CANCELAMENTO DE OFÍCIO C/BASE INSTR. CVM 287/98,CANCELADA,3/21/2006,,,,,KPMG AUDITORES ASSOCIADOS,5.28032E+13,SEDE,R ALVARES MACHADO 41-15 A.CJ.M,,,SÃO PAULO,SP,BRASIL,,(11) 360550,,,DIRETOR DE RELAÇÕES COM INVESTIDORES,OSWALDO PACHECO,11/6/1984,RUA DOM AGUIRRE 176,,,SÃO PAULO,SP,,4671000,(11) 5234122,,,BALCÃO NÃO ORGANIZADO
12050,,GURGEL SA PARTICIPACOES,GURGEL SA PART,EMP. ADM. PARTICIPAÇÕES,PJ,6.22788E+13,11/6/1984,,3/22/2005,CANCELAMENTO DE OFÍCIO C/BASE INSTR. CVM 287/98,CANCELADA,3/22/2005,,,,,ECOPAL AUDITORES INDEPENDENTES,4.3343E+13,SEDE,RUA CONCEIÇÃO VELOSO 174,,VILA MARIANA,SÃO PAULO,SP,BRASIL,,(11) 5718144,(11) 5738078,,DIRETOR DE RELAÇÕES COM INVESTIDORES,OLAIR VILLA REAL,11/6/1984,RUA CONCEIÇÃO VELOSO 174,,VILA MARIANA,SÃO PAULO,SP,,4110120,(11) 5718144,(11) 5738078,,BOLSA
12068,,INDS DE BEBS JOAQUIM T A F SA,JOAQUIM THOMAZ,BEBIDAS E FUMO,PJ,3.19014E+13,11/19/1984,,7/25/1986,ATENDIMENTO AS NORMAS DA INSTR CVM 03/78,CANCELADA,7/25/1986,,,,,,,SEDE,PC SAO JOAO BATISTA 12,,,SÃO JOÃO DA BARRA,RJ,BRASIL,,(21) 22907212,,,DIRETOR DE RELAÇÕES COM INVESTIDORES,HUGO AQUINO FILHO,11/19/1984,"AV.BRASIL, 8.141",,,RIO DE JANEIRO,RJ,,21030000,(21) 2907212,,,BALCÃO NÃO ORGANIZADO
12076,,CURT SA,CURT,"Máquinas, Equipamentos, Veículos e Peças",PJ,6.13232E+13,11/23/1984,,12/20/2005,CANCELAMENTO DE OFÍCIO C/BASE INSTR. CVM 287/98,CANCELADA,12/20/2005,,,,,DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES,4.99286E+13,SEDE,R ANTONIO MACEDO SOARES 1251,,,SÃO PAULO,SP,BRASIL,,(11) 5354842,(11) 2419148,,DIRETOR DE RELAÇÕES COM INVESTIDORES,EBS ELETRONIC SERVICES / LIQ.,11/23/1984,R ANTONIO MACEDO SOARES 1251,,,SÃO PAULO,SP,,4607001,(11) 5354842,(0011) 2419148,,BALCÃO NÃO ORGANIZADO
12084,,FREIOS VARGA SA,FREIOS VARGA,"Máquinas, Equipamentos, Veículos e Peças",PJ,5.14668E+13,11/23/1984,,6/2/1999,ATENDIMENTO AS NORMAS DA INSTR CVM 229/95,CANCELADA,6/2/1999,,,,,KPMG AUDITORES INDEPENDENTES,5.77552E+13,SEDE,"VIA ANHANGUERA, KM.147",,,LIMEIRA,SP,BRASIL,,(19) 4401313,(19) 4401499,,DIRETOR DE RELAÇÕES COM INVESTIDORES,ANTONIO CARLOS BENTO SOUZA,11/23/1984,"VIA ANHANGUERA, KM.147",,PIRES,LIMEIRA,SP,,13486915,(19) 4401204,(0019) 4401499,acbento@varga.com.br,BOLSA
12092,,PEIXE SA,PEIXE SA,ALIMENTOS,PJ,1.07822E+13,11/28/1984,,3/14/2001,ATENDIMENTO AS NORMAS DA INSTR CVM 229/95,CANCELADA,3/14/2001,,,,,PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES,6.15621E+13,SEDE,"AV. PAULISTA, 2439 - 10.º - CO",NJ. 102,CERQUEIRA CESAR,SÃO PAULO,SP,BRASIL,,(11) 30609899,(11) 30609899,laps@dialdata.com.br,DIRETOR DE RELAÇÕES COM INVESTIDORES,ARMANDO LUIZ FERNANDES,11/28/1984,"AV. PAULISTA, 2439 - 10.º - CO",NJ. 102,,SÃO PAULO,SP,,1311300,(11) 30609899,(0011) 30609899,,BOLSA
12106,,ENIA INDUSTRIAS QUIMICAS SA,ENIA,Petroquímicos e Borracha,PJ,6.08351E+13,10/26/1984,,3/29/1990,ATENDIMENTO AS NORMAS DA INSTR CVM 03/78,CANCELADA,3/29/1990,,,,,BIANCHESSI & CIA  AUDITORES,6.08495E+13,SEDE,"RUA CIPRIANO BARATA, 456",,,SÃO PAULO,SP,BRASIL,,(11) 631131,,,DIRETOR DE RELAÇÕES COM INVESTIDORES,LEGE SALLES BAPTISTA,10/26/1984,PRAIA DE BOTAFOGO 228 12AND,,,SÃO PAULO,SP,,22250000,(11) 631131,,,BALCÃO NÃO ORGANIZADO
12114,,LARAMO SA,LARAMO,OUTRAS ATIVIDADES INDUSTRIAIS,PJ,4.40761E+13,12/7/1984,,7/23/1985,ATENDIMENTO AS NORMAS DA INSTR CVM 03/78,CANCELADA,7/23/1985,,,,,,,SEDE,"RUA XV DE NOVEMBRO, 228/10 AND",,,SÃO PAULO,SP,BRASIL,,(11) 2358211,,,,,,,,,,,,,,,,BALCÃO NÃO ORGANIZADO
12122,,ELEBRA SA ELETR BRASILEIRA,ELEBRA,TELECOMUNICAÇÕES,PJ,5.38438E+13,12/7/1984,7/31/1984,3/18/2008,CANCELAMENTO DE OFÍCIO C/BASE INSTR. CVM 287/98,CANCELADA,3/18/2008,,,,,LMPG AUDITORES INDEPENDENTES,2.91842E+13,SEDE,RUA BOGAERT Nº 326 - PARTE,,VILA VERMELHA,SÃO PAULO,SP,BRASIL,,(11) 69691690,(11) 69691955,elepre@iibm.net,DIRETOR DE RELAÇÕES COM INVESTIDORES,RENATO BARANCO RUIZ,12/7/1984,RUA BOGAERT Nº 326,,VILA VERMELHA,SÃO PAULO,SP,,4298020,(11) 69691690,(11) 69691955,ELEPRE@IBM.NET,BALCÃO NÃO ORGANIZADO
12130,,COMPANHIA PARAIBUNA DE METAIS,PARAIBUNA,METALURGIA E SIDERURGIA,PJ,4.24167E+13,12/12/1984,,12/9/2002,ATENDIMENTO AS NORMAS DA INSTRUÇÃO CVM Nº 361/02,CANCELADA,12/9/2002,,,,,PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES,6.15621E+13,SEDE,RODOVIA BR 267 - KM 119,,IGREJINHA,JUIZ DE FORA,MG,BRASIL,,(32) 32393000,(32) 32393004,vilmarcosta.paraibuna@paranapanema.com.br,DIRETOR DE RELAÇÕES COM INVESTIDORES,ÁLVARO LUIS VELOSO,12/12/1984,"PRAÇA RAMOS DE AZEVEDO, 254 -",6º ANDAR,CENTRO,SÃO PAULO,SP,,1037912,(11) 32253174,(11) 32253156,,BOLSA
12149,,HUMAITA SA,HUMAITA,EMP. ADM. PARTICIPAÇÕES,PJ,5.09914E+13,12/12/1984,,12/19/1989,ATENDIMENTO AS NORMAS DA INSTR CVM 03/78,CANCELADA,12/19/1989,,,,,TOUCHE ROSS & CIA SC AUD INDEP,6.13302E+13,SEDE,AV PAULISTA 2100 7 ANDAR,,,SÃO PAULO,SP,BRASIL,,(11) 2517211,,,DIRETOR DE RELAÇÕES COM INVESTIDORES,EZEQUIEL EDMOND NASSER,12/12/1984,AV PAULISTA 2100,,,SÃO PAULO,SP,,1310000,(11) 2517211,,,
12157,,MNM METALURGICA NORTE MINAS SA,MNM,METALURGIA E SIDERURGIA,PJ,2.26702E+13,10/16/1984,,9/14/1994,ENQUADRAMENTO EXCEÇÕES DA INSTR. CVM 03/78,CANCELADA,9/14/1994,,,,,PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES,6.15621E+13,SEDE,AV OSMANI BARBOSA 937,,,MONTES CLAROS,MG,BRASIL,,(38) 2151277,(38) 2151262,,DIRETOR DE RELAÇÕES COM INVESTIDORES,MARCO TULIO LEITE RODRIGUES,10/16/1984,AV OSMANI BARBOSA 937,,,MONTES CLAROS,MG,,39400000,(38) 2215177,(0038) 2151262,,BOLSA
12165,,SANTANDER LEASING S.A. ARRENDAMENTO MERCANTIL,SANTANDER LEASING S.A.,ARRENDAMENTO MERCANTIL,PJ,4.71931E+13,12/27/1984,,1/5/2001,ATENDIMENTO AS NORMAS DA INSTR CVM 229/95,CANCELADA,1/5/2001,,,,,RUHTRA S/C,3.30173E+13,SEDE,"Rua Amador Bueno, 474","Bloco C, 1º andar",Santo Amaro,SÃO PAULO,SP,BRASIL,,,,ri@santander.com.br,DIRETOR DE RELAÇÕES COM INVESTIDORES,HUMBERTO CASAGRANDE NETO,12/27/1984,AV PAULISTA 1000,,BELA VISTA,SÃO PAULO,SP,,1310912,(11) 31709899,(11) 2891239,juridsocietario@santander.com.br,BALCÃO NÃO ORGANIZADO
12173,,COMIND LEASING SA ARR MERC,COMIND LEASING,ARRENDAMENTO MERCANTIL,PJ,4.71849E+13,1/4/1985,,1/12/1993,ATENDIMENTO AS NORMAS DA INSTR CVM 03/78,CANCELADA,1/12/1993,,,,,,,SEDE,RUA DR RENATO PAES BARROS 600,,,SÃO PAULO,SP,BRASIL,,(11) 2392433,,,DIRETOR DE RELAÇÕES COM INVESTIDORES,IOZILDO MASSA,1/4/1985,"AV.PAULISTA, 2313/8 AND.",,,SÃO PAULO,SP,,1311000,(11) 2821038,,,BALCÃO NÃO ORGANIZADO
12181,,MARAMBAIA ENERGIA RENOVÁVEL SA,MARAMBAIA ENERGIA RENOVÁVEL SA,"AGRICULTURA (AÇUCAR, ALCOOL E CANA)",PJ,5.14681E+13,6/28/1984,1/24/1961,1/7/2013,Cancelamento de ofício - IN CVM 480/09,CANCELADA,1/7/2013,FASE OPERACIONAL,3/29/2010,Categoria A,1/1/2010,KPMG AUDITORES ASSOCIADOS,5.28032E+13,SEDE,Rua Agostinho Goulão n 2098,parte,Correas,PETRÓPOLIS,RJ,BRASIL,,(24) 22335000,(24) 22335130,dri@marambaia.com,,,,,,,,,,,,,,BOLSA
12190,BOBR,BOMBRIL SA,BOMBRIL SA,Farmacêutico e Higiene,PJ,5.05641E+13,9/26/1984,1/14/1948,,,ATIVO,9/26/1984,FASE OPERACIONAL,9/26/1984,Categoria A,1/1/2010,BDO RCS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES,5.42769E+13,SEDE,"Via Anchieta, KM 14",S/N,Rudge Ramos,SÃO BERNARDO DO CAMPO,SP,BRASIL,,(11) 43661001,(11) 43681287,acionista@bombril.com.br,DIRETOR DE RELAÇÕES COM INVESTIDORES,WAGNER BRILHANTE DE ALBUQUERQUE,4/25/2016,MARGINAL D. DA VIA ANCHIETA,KM 014,RUDGE RAMOS,SÃO BERNARDO DO CAMPO,SP,,9696000,(11) 43661046,(11) 43661287,acionista@bombril.com.br,BOLSA
12203,,SIFCOINVEST SA,SIFCOINVEST,EMP. ADM. PARTICIPAÇÕES,PJ,5.22115E+13,1/16/1985,,9/19/1988,ATENDIMENTO AS NORMAS DA INSTR CVM 03/78,CANCELADA,9/19/1988,,,,,RUHTRA S/C,3.30173E+13,SEDE,"R.LIBERO BADARO, 377/6 ANDAR",,,SÃO PAULO,SP,BRASIL,,(11) 2293622,,,DIRETOR DE RELAÇÕES COM INVESTIDORES,GILBERTO TACCOLINI,1/16/1985,"R.LIBERO BADARO, 377/6 ANDAR",,,SÃO PAULO,SP,,1009000,(11) 2293622,,,BALCÃO NÃO ORGANIZADO
12211,,ENXUTA SA,ENXUTA,"Máquinas, Equipamentos, Veículos e Peças",PJ,8.8612E+13,1/8/1985,,4/23/1998,ATENDIMENTO AS NORMAS DA INSTR CVM 03/78,CANCELADA,4/23/1998,,,,,ARTHUR ANDERSEN BIEDERMANN A I,4.40382E+13,SEDE,RS 122 KM 02 DESVIO RIZZO,,,CAXIAS DO SUL,RS,BRASIL,,(54) 2271544,(54) 2271544,,DIRETOR DE RELAÇÕES COM INVESTIDORES,PAULO ROBERTO LISBOA TRICHES,1/8/1985,RUA BOA VISTA,,,SÃO PAULO,SP,,1092000,(11) 2358528,(0011) 2271544,,BOLSA
12220,,COSTA PINTO S.A.,USINA COSTA PINTO S/A AÇÚCAR E ÁLCOOL,"AGRICULTURA (AÇUCAR, ALCOOL E CANA)",PJ,4.46891E+13,1/16/1985,10/7/1980,3/25/2013,Cancelamento Voluntário - IN CVM 480/09,CANCELADA,3/25/2013,FASE OPERACIONAL,4/30/2002,Categoria A,1/1/2010,KPMG AUDITORES ASSOCIADOS,5.28032E+13,SEDE,Avenida Presidente Juscelino Kubitschek nº 1327,2o. Andar - Sala 22,Vila Nova Conceição,SÃO PAULO,SP,BRASIL,,(19) 21054450,(19) 21054477,ucostapinto@terra.com.br,DIRETOR DE RELAÇÕES COM INVESTIDORES,CELSO RENATO GERALDIN,11/21/2006,BAIRRO COSTA PINTO S/Nº,,COSTA PINTO,PIRACICABA,SP,,13411900,(19) 21054450,(19) 21054477,UCOSTAPINTO@TERRA.COM.BR,BOLSA
